編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPOOMLRKJHMFFAM48CA,22,30.87,見其他登記事項,鋼筋混凝土造,84年5月1日,七層,
RPTNMLTKJHMFFAM09CA,35,105.96,住家用,鋼筋混凝土造,70年10月5日,二層,一層 二層 騎樓
RPQNMLTKJHMFFAM78CA,,172.41,見其他登記事項,鋼筋混凝土造,105年8月8日,三層,一層 二層 三層 見其他登記事項
RPRNMLNLJHMFFAM38CA,23,112.56,住家用,見其他登記事項,83年5月13日,二層,一層 二層
RPQOMLTKJHMFFBM98CA,12,163.43,住家用,鋼筋混凝土造,93年10月15日,四層,一層 二層 三層 四層
RPWNMLTKJHMFFBM86CA,21,67.65,住家用,鋼筋混凝土造,84年12月15日,十二層,五層
RPWNMLTKJHMFFBM86CA,21,15.17,見其他登記事項,鋼筋混凝土造,84年12月15日,十二層,
RPUNMLOKKHMFFAM78CA,2,265.92,住家用,鋼筋混凝土造,104年4月30日,二層,一層 二層
RPUNMLOKKHMFFAM78CA,2,2.23,住家用,鋼筋混凝土造,104年4月30日,一層,一層
RPVNMLOKKHMFFAM88CA,1,91.00,住家用,鋼筋混凝土造,105年6月20日,四層,一層 二層 三層 四層
RPVNMLOKKHMFFAM88CA,1,91.00,住家用,鋼筋混凝土造,105年6月20日,四層,一層 二層 三層 四層
RPTNMLQJKHMFFAM78CA,33,113.08,住家用,鋼筋混凝土加強磚造,72年12月28日,二層,一層 二層
RPROMLRJKHMFFBM88CA,,204.99,住家用,鋼筋混凝土造,105年11月2日,四層,一層 二層 三層 四層
RPTOMLRJKHMFFBM09CA,,204.99,住家用,鋼筋混凝土造,105年11月2日,四層,一層 二層 三層 四層
RPUOMLRJKHMFFBM56CA,,204.99,住家用,鋼筋混凝土造,105年11月2日,四層,一層 二層 三層 四層
RPUNMLNKKHMFFBM78CA,,180.58,住家用,鋼筋混凝土造,105年11月2日,四層,一層 二層 三層 四層
RPSNMLNLJHMFFBM58CA,22,22.35,住家用,鋼筋混凝土造,83年7月21日,十三層,十一層
RPSNMLNLJHMFFBM58CA,22,12.30,見其他登記事項,鋼筋混凝土造,83年7月21日,十三層,
RPQNMLPLJHMFFCM68CA,37,98.54,住商用,加強磚造,69年5月22日,二層,一層 二層 騎樓
RPTNMLNKKHMFFCM78CA,5,219.95,見其他登記事項,鋼筋混凝土造,100年11月10日,四層,一層 二層 三層 四層
RPUNMLKLJHMFFDM68CA,48,70.40,住家用,鋼筋混凝土加強磚造,57年11月1日,二層,一層 二層
RPPNMLPLJHMFFDM68CA,13,151.11,住家用,鋼筋混凝土造,93年2月5日,三層,一層 二層 三層 屋頂突出物
RPVNMLKLJHMFFDM78CA,21,21.81,見其他登記事項,鋼筋混凝土造,85年3月9日,五層,四層
RPPNMLKKKHMFFDM18CA,2,187.68,見其他登記事項,鋼筋混凝土造,104年5月25日,三層,一層 二層 三層 屋頂突出物
RPUOMLPLJHMFFDM66CA,22,161.27,農舍,見其他登記事項,83年12月12日,一層,一層
RPTNMLPLJHMFFDM09CA,20,180.59,住家用,鋼筋混凝土造,86年1月10日,四層,一層 二層 三層 四層
RPTNMLPLJHMFFDM09CA,20,36.13,見其他登記事項,鋼筋混凝土造,86年1月10日,一層,
RPVNMLNLJHMFFBM88CA,16,165.21,住家用,鋼筋混凝土造,90年5月9日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLOLJHMFFBM38CA,29,150.38,住商用,加強磚造,77年1月9日,三層,一層 二層 三層 騎樓
RPRNMLOLJHMFFBM58CA,26,90.78,商業用,鋼筋混凝土造,80年3月23日,十二層,七層
RPRNMLOLJHMFFBM58CA,26,45.55,見其他登記事項,鋼筋混凝土造,80年3月23日,十二層,
RPRNMLTJKHMFFAM88CA,36,97.53,住商用,鋼筋混凝土加強磚造,69年12月13日,二層,一層 二層 騎樓
SPRNMLTJKHMFFAM98CA,36,96.00,住家用,鋼筋混凝土加強磚造,69年12月13日,二層,一層 二層 騎樓
RPPNMLLLJHMFFBM08CA,25,89.34,住家用,鋼筋混凝土造,80年9月20日,十一層,三層
RPPNMLLLJHMFFBM08CA,25,13.68,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPPNMLLLJHMFFBM08CA,25,9.42,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPRNMLNLJHMFFBM48CA,25,21.55,住家用,鋼筋混凝土造,80年9月20日,九層,九層
RPRNMLNLJHMFFBM48CA,25,8.66,見其他登記事項,鋼筋混凝土造,80年9月20日,九層,
RPRNMLNLJHMFFBM48CA,25,4.71,見其他登記事項,鋼筋混凝土造,80年9月20日,十一層,
RPUNMLNLJHMFFAM68CA,38,284.41,住商用,鋼筋混凝土造,67年10月30日,四層,一層 二層 三層 四層 騎樓 地下層
RPVNMLKLJHMFFAM48CA,36,102.48,住商用,鋼筋混凝土加強磚造,69年7月1日,二層,一層 二層 騎樓
RPUNMLOLJHMFFAM78CA,27,100.41,住商用,加強磚造,79年6月18日,二層,一層 二層 騎樓
RPQNMLKMJHMFFCM28CA,33,72.24,住家用,鋼筋混凝土造,73年1月19日,四層,四層
RPSNMLRJKHMFFEM66DA,11,168.38,農舍,鋼筋混凝土造,95年5月30日,二層,一層 二層 地下層
RPRNMLNKKHMFFDM68CA,11,177.74,住家用,鋼筋混凝土造,94年9月19日,三層,一層 二層 三層 屋頂突出物
RPQOMLNLJHMFFDM68CA,10,133.13,住家用,鋼筋混凝土造,96年4月13日,二層,一層 二層
RPPNMLOLJHMFFDM58CA,56,82.56,住家用,磚造,50年3月30日,一層,一層 騎樓
RPPNMLOLJHMFFDM58CA,56,82.56,住家用,磚造,50年3月30日,一層,一層 騎樓
RPTNMLTJKHMFFCM66CA,23,92.56,住家用,鋼筋混凝土造,82年12月20日,四層,三層
RPTNMLTJKHMFFCM66CA,23,4.72,見其他登記事項,鋼筋混凝土造,82年12月20日,四層,
RPSNMLRKKHMFFCM09CA,16,207.49,見其他登記事項,見其他登記事項,89年10月6日,一層,一層
RPPNMLPJKHMFFCM48CA,22,92.45,見其他登記事項,木造,84年5月13日,二層,一層 二層
RPOOMLMJKHMFFDM28CA,,204.68,見其他登記事項,鋼筋混凝土造,105年10月27日,三層,一層 二層 三層 見其他登記事項
RPVNMLPLJHMFFDM66CA,19,142.76,住家用,鋼筋混凝土造,87年2月20日,三層,一層 二層 三層
RPSOMLMJKHMFFDM78DA,13,151.11,住家用,鋼筋混凝土造,93年2月5日,三層,一層 二層 三層 屋頂突出物
RPUNMLPLJHMFFCM09CA,24,111.65,住家用,加強磚造,81年11月11日,二層,一層 二層
RPQNMLOLJHMFFCM58CA,12,138.45,住商用,鋼骨鋼筋混凝土造,93年7月20日,三層,一層 二層 三層
RPRNMLOLJHMFFCM68CA,4,148.02,住家用,鋼筋混凝土造,101年8月22日,三層,一層 二層 三層
RPSNMLRJLHMFFBM98CA,,208.21,住家用,鋼筋混凝土造,105年8月22日,四層,一層 二層 三層 四層
RPUNMLRJKHMFFBM09CA,27,224.32,住家用,鋼筋混凝土造,79年5月18日,四層,一層 二層 三層 四層 地下層
RPUNMLRJKHMFFBM09CA,27,37.03,停車空間,鋼筋混凝土造,79年5月18日,四層,
RPWNMLOLJHMFFAM98CA,31,171.50,住商用,鋼筋混凝土造,75年5月12日,三層,一層 二層 三層 騎樓
RPPNMLQLJHMFFAM48CA,23,79.80,住家用,鋼筋混凝土造,82年11月10日,十四層,九層
RPPNMLQLJHMFFAM48CA,23,17.15,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPPNMLQLJHMFFAM48CA,23,8.47,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPPNMLQLJHMFFAM48CA,23,.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,地下層
RPPNMLQLJHMFFAM48CA,23,7.50,見其他登記事項,鋼筋混凝土造,82年11月10日,十四層,
RPQNMLQJKHMFFAM48CA,15,165.95,住家用,鋼筋混凝土造,90年11月16日,三層,一層 二層 三層 屋頂突出物
RPRNMLQJKHMFFAM58CA,36,110.03,住家用,鋼筋混凝土加強磚造,70年4月29日,二層,一層 二層
RPRNMLMJKHMFFBM28CA,2,236.14,住家用,鋼筋混凝土造,104年1月30日,四層,一層 二層 三層 四層
RPRNMLRJKHMFFBM78CA,3,276.34,見其他登記事項,鋼筋混凝土造,102年9月25日,三層,一層 二層 三層 見其他登記事項
RPUNMLQLJHMFFDM66CA,32,99.53,住家用,鋼筋混凝土加強磚造,73年10月6日,二層,一層 二層
RPPNMLTJKHMFFEM09CA,47,97.75,住家用,鋼筋混凝土加強磚造,58年9月12日,二層,一層 二層 騎樓
RPQNMLOKKHMFFDM68CA,2,112.55,農舍,見其他登記事項,103年11月20日,一層,一層
RPQOMLMJKHMFFDM48CA,,212.50,見其他登記事項,鋼筋混凝土造,105年10月27日,三層,一層 二層 三層 見其他登記事項
RPTOMLPLJHMFFDM66DA,26,211.21,住家用,鋼筋混凝土造,80年1月21日,三層,一層 二層 三層 地下層
RPQNMLQLJHMFFDM98DA,13,151.11,住家用,鋼筋混凝土造,93年2月5日,三層,一層 二層 三層 屋頂突出物
RPRNMLTJKHMFFDM66DA,36,102.51,住家用,鋼筋混凝土加強磚造,69年5月1日,二層,一層 二層
RPXOMLMJKHMFFCM09CA,4,207.38,見其他登記事項,鋼筋混凝土造,101年8月22日,四層,一層 二層 三層 四層
RPSNMLMJKHMFFBM38CA,21,62.45,住家用,鋼筋混凝土造,84年9月27日,十二層,八層
RPSNMLMJKHMFFBM38CA,21,21.84,見其他登記事項,鋼筋混凝土造,84年9月27日,十二層,
RPQNMLSJKHMFFBM78CA,21,167.23,住家用,鋼筋混凝土造,85年6月7日,五層,一層 二層 夾層
RPQNMLSJKHMFFBM78CA,21,44.10,見其他登記事項,鋼筋混凝土造,85年6月7日,五層,
RPWOMLRJKHMFFBM76CA,4,426.16,見其他登記事項,鋼筋混凝土造,102年6月10日,五層,一層 二層 三層 四層 五層
RPSNMLQJKHMFFAM68CA,1,194.25,見其他登記事項,鋼筋混凝土造,105年6月20日,四層,一層 二層 三層 四層
RPPNMLNKKHMFFBM28CA,24,90.55,住家用,鋼筋混凝土造,82年3月12日,七層,一層 見其他登記事項
RPPNMLNKKHMFFBM28CA,24,11.31,見其他登記事項,鋼筋混凝土造,82年3月12日,七層,
RPUNMLQLJHMFFEM86DA,17,129.60,住家用,見其他登記事項,88年8月24日,一層,一層
RPRNMLOKKHMFFDM78CA,18,166.35,住商用,鋼筋混凝土造,87年11月21日,三層,一層 二層 三層 騎樓
RPRNMLSJKHMFFDM09CA,13,151.11,住家用,鋼筋混凝土造,93年2月5日,三層,一層 二層 三層 屋頂突出物
