編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPTNMLNLJHMFFCQ76EA,37,98.09,住商用,鋼筋混凝土加強磚造,69年1月24日,二層,一層 二層 騎樓
RPVNMLKLJHMFFDQ66DA,11,175.94,住商用,鋼筋混凝土造,94年9月16日,四層,一層 二層 三層 四層
RPWNMLNLJHMFFBQ86DA,21,303.40,住家用,鋼筋混凝土加強磚造,85年7月1日,四層,一層 二層 三層 四層
RPQNMLTJKHMFFDQ86CA,21,74.22,見其他登記事項,鋼筋混凝土造,85年2月7日,九層,六層
RPQNMLTJKHMFFDQ86CA,21,15.37,見其他登記事項,鋼筋混凝土造,85年2月7日,九層,
RPQNMLTJKHMFFDQ86CA,21,10.57,見其他登記事項,鋼筋混凝土造,85年2月7日,九層,
RPVNMLOLJHMFFCQ86CA,1,217.75,住家用,鋼筋混凝土造,105年3月15日,四層,一層 二層 三層 四層
RPWNMLKLJHMFFDQ66CA,18,124.21,住家用,鋼筋混凝土造,87年11月24日,三層,一層 二層 三層
RPRNMLOKKHMFFCQ09CA,4,218.00,見其他登記事項,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項
RPRNMLNLJHMFFBQ88CA,37,105.18,住家用,鋼筋混凝土加強磚造,68年11月17日,二層,一層 二層
RPVNMLKLJHMFFCQ09CA,23,25.31,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPUOMLNLJHMFFDQ86CA,12,175.63,住家用,鋼筋混凝土造,93年6月21日,四層,一層 二層 三層 四層
RPSNMLOLJHMFFCQ56CA,18,143.92,見其他登記事項,鋼筋混凝土造,88年4月28日,五層,五層
RPSNMLOLJHMFFCQ56CA,18,27.91,見其他登記事項,鋼筋混凝土造,88年4月28日,五層,
RPTNMLKLKHMFFDQ56DA,25,140.46,住家用,鋼筋混凝土造,81年7月4日,三層,一層 二層 三層
RPOOMLOLJHMFFDQ09DA,11,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,五層
RPOOMLOLJHMFFDQ09DA,11,7.19,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPPOMLOLJHMFFDQ56DA,11,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,五層
RPPOMLOLJHMFFDQ56DA,11,7.19,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
SPPOMLOLJHMFFDQ66DA,11,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,五層
SPPOMLOLJHMFFDQ66DA,11,7.19,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPPNMLSKKHMFFDQ76CA,13,17.00,見其他登記事項,鋼筋混凝土造,93年6月9日,五層,三層
SPPNMLSKKHMFFDQ86CA,13,19.53,見其他登記事項,鋼筋混凝土造,93年6月9日,五層,四層
RPQNMLLKKHMFFDQ78CA,39,105.62,住家用,鋼筋混凝土加強磚造,67年2月10日,二層,一層 二層 騎樓
RPSNMLPLJHMFFEQ86CA,2,230.65,見其他登記事項,鋼筋混凝土造,104年4月15日,三層,一層 二層 三層 屋頂突出物
RPQNMLOJKHMFFDQ98CA,35,157.91,住家用,鋼筋混凝土加強磚造,70年6月20日,二層,一層 二層
RPSNMLSKKHMFFDQ07CA,,208.68,住家用,鋼筋混凝土造,105年10月14日,四層,一層 二層 三層 四層
RPQNMLQLJHMFFDQ76DA,12,16.70,住家用,鋼筋混凝土造,93年8月3日,五層,三層
RPQNMLQLJHMFFDQ76DA,12,.76,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPQNMLQLJHMFFDQ76DA,12,6.83,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPQNMLQLJHMFFDQ76DA,12,1.26,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPQNMLQLJHMFFDQ76DA,12,6.99,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPQNMLQLJHMFFDQ76DA,12,.17,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
SPQNMLQLJHMFFDQ86DA,12,19.39,住家用,鋼筋混凝土造,93年8月3日,五層,三層
SPQNMLQLJHMFFDQ86DA,12,9.01,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
SPQNMLQLJHMFFDQ86DA,12,8.06,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
SPQNMLQLJHMFFDQ86DA,12,1.48,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
SPQNMLQLJHMFFDQ86DA,12,.82,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
SPQNMLQLJHMFFDQ86DA,12,.20,見其他登記事項,鋼筋混凝土造,93年8月3日,五層,
RPTNMLOLJHMFFDQ86DA,37,96.88,住家用,鋼筋混凝土加強磚造,69年5月10日,二層,一層 二層
RPUNMLPLJHMFFBQ86DA,,183.68,見其他登記事項,鋼筋混凝土造,105年8月4日,三層,一層 二層 三層
RPQNMLQLJHMFFBQ56DA,20,77.53,住家用,鋼筋混凝土造,86年1月10日,十層,九層
RPRNMLMJKHMFFCQ78CA,36,109.59,住家用,鋼筋混凝土加強磚造,70年5月8日,二層,一層 二十五層 電梯樓梯間
RPQNMLOLJHMFFCQ98CA,1,191.15,見其他登記事項,鋼筋混凝土造,104年11月13日,三層,一層 二層 三層 見其他登記事項
RPWNMLMJKHMFFBQ56CA,,282.57,住家用,鋼筋混凝土造,105年11月14日,四層,一層 二層 三層 四層
RPXNMLPLJHMFFBQ07CA,36,99.46,住家用,鋼筋混凝土加強磚造,69年7月11日,二層,一層 二層
RPRNMLPLJHMFFDQ66CA,,170.95,住家用,鋼筋混凝土造,105年8月19日,三層,一層 二層 三層 見其他登記事項
RPTNMLPLJHMFFDQ86CA,20,173.21,住商用,鋼筋混凝土造,86年2月5日,四層,一層 二層 三層 四層
RPPNMLLKKHMFFCQ58CA,23,164.12,住家用,鋼筋混凝土造,82年8月16日,三層,一層 二層 三層 電梯樓梯間
RPQNMLMKKHMFFCQ78CA,10,21.15,見其他登記事項,鋼筋混凝土造,96年6月23日,五層,三層
RPQNMLMKKHMFFCQ78CA,10,7.03,見其他登記事項,鋼筋混凝土造,96年6月23日,五層,
RPXNMLMJKHMFFCQ76CA,34,.25,見其他登記事項,鋼筋混凝土造,72年3月12日,五層,一層
RPXNMLMJKHMFFCQ76CA,34,7.86,共有部份,鋼筋混凝土造,72年3月12日,五層,
RPXNMLMJKHMFFCQ76CA,34,61.08,國民住宅,鋼筋混凝土造,72年3月12日,五層,一層
RPXNMLMJKHMFFCQ76CA,34,7.92,共有部份,鋼筋混凝土造,72年3月12日,五層,
RPTNMLNJKHMFFCQ09CA,35,111.71,住家用,鋼筋混凝土加強磚造,70年12月31日,二層,一層 二層
RPSNMLQLJHMFFDQ96DA,20,187.90,住商用,鋼筋混凝土造,86年1月7日,四層,一層 二層 三層 四層 騎樓
RPVNMLSKKHMFFDQ37CA,23,197.74,住家用,鋼筋混凝土造,82年11月23日,四層,一層 二層 三層 四層 夾層
RPTNMLMJKHMFFDQ09CA,19,72.90,商業用,鋼筋混凝土造,86年7月15日,四層,一層
RPTNMLMJKHMFFDQ09CA,19,50.98,見其他登記事項,鋼筋混凝土造,86年7月15日,四層,
RPRNMLNJKHMFFDQ98CA,20,10.90,見其他登記事項,鋼筋混凝土造,86年6月23日,七層,
RPRNMLNJKHMFFDQ98CA,20,74.29,見其他登記事項,鋼筋混凝土造,86年6月28日,六層,三層
RPRNMLNJKHMFFDQ98CA,20,13.30,見其他登記事項,鋼筋混凝土造,86年6月23日,七層,
RPRNMLQJKHMFFDQ66CA,,167.01,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPTNMLQJKHMFFDQ86CA,,142.35,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPVNMLQJKHMFFDQ07CA,,135.38,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPWNMLQJKHMFFDQ17CA,,158.45,住家用,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPXNMLQJKHMFFDQ27CA,,141.80,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPOOMLQJKHMFFDQ09CA,,205.76,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPUNMLKLKHMFFDQ66DA,22,193.52,住家用,鋼筋混凝土造,83年8月10日,三層,一層 二層 三層
RPTNMLOLKHMFFCQ96EA,35,121.65,住家用,鋼筋混凝土加強磚造,71年6月11日,二層,一層 二層 電梯樓梯間
RPQNMLNJKHMFFCQ78CA,16,1887.94,見其他登記事項,見其他登記事項,89年6月21日,一層,一層
RPOOMLQKKHMFFCQ09CA,11,185.71,見其他登記事項,鋼筋混凝土造,94年7月13日,三層,一層 二層 三層 電梯樓梯間
RPPNMLKKKHMFFBQ38CA,1,200.15,見其他登記事項,鋼筋混凝土造,105年4月27日,三層,一層 二層 三層 見其他登記事項
RPQNMLNJKHMFFBQ68CA,33,115.29,住商用,鋼筋混凝土加強磚造,73年3月30日,三層,一層 二層 三層
