104/01/05,11.46,7.41,1.20
104/01/06,11.26,7.54,1.18
104/01/07,11.48,7.40,1.20
104/01/08,11.62,7.31,1.22
104/01/09,11.58,7.33,1.21
104/01/12,11.48,7.40,1.20
104/01/13,11.88,7.15,1.24
104/01/14,12.11,7.01,1.27
104/01/15,12.00,7.08,1.26
104/01/16,11.95,7.10,1.25
104/01/19,12.00,7.08,1.26
104/01/20,12.20,6.96,1.28
104/01/21,12.06,7.04,1.26
104/01/22,12.02,7.07,1.26
104/01/23,12.00,7.08,1.26
104/01/26,12.11,7.01,1.27
104/01/27,12.09,7.02,1.27
104/01/28,12.09,7.02,1.27
104/01/29,12.00,7.08,1.26
104/01/30,12.00,7.08,1.26
104/02/02,12.12,7.01,1.27
104/02/03,12.06,7.04,1.26
104/02/04,11.97,7.10,1.25
104/02/05,11.82,7.19,1.24
104/02/06,11.80,7.20,1.24
104/02/09,11.78,7.21,1.23
104/02/10,11.86,7.16,1.24
104/02/11,11.91,7.13,1.25
104/02/12,11.94,7.11,1.25
104/02/13,12.00,7.08,1.26
104/02/24,12.06,7.04,1.26
104/02/25,12.12,7.01,1.27
104/02/26,12.28,6.92,1.29
104/03/02,12.48,6.81,1.31
104/03/03,12.62,6.73,1.32
104/03/04,12.92,6.57,1.35
104/03/05,12.77,6.65,1.34
104/03/06,12.55,6.76,1.32
104/03/09,12.38,6.86,1.30
104/03/10,12.62,6.73,1.32
104/03/11,12.46,6.81,1.31
104/03/12,12.92,6.57,1.35
104/03/13,12.98,6.54,1.36
104/03/16,12.66,6.71,1.33
104/03/17,12.62,6.73,1.32
104/03/18,12.63,6.72,1.32
104/03/19,12.77,6.65,1.34
104/03/20,12.85,6.61,1.35
104/03/23,12.63,6.72,1.32
104/03/24,12.65,6.72,1.32
104/03/25,12.31,6.90,1.29
104/03/26,12.48,4.98,1.31
104/03/27,12.52,4.96,1.31
104/03/30,12.60,4.93,1.26
104/03/31,14.53,4.98,1.25
104/04/01,14.37,5.04,1.24
104/04/02,14.52,4.99,1.25
104/04/07,14.77,4.90,1.27
104/04/08,14.39,5.03,1.24
104/04/09,14.48,5.00,1.25
104/04/10,14.28,5.07,1.23
104/04/13,14.12,5.13,1.22
104/04/14,13.85,5.23,1.19
104/04/15,13.71,5.28,1.18
104/04/16,13.89,5.21,1.20
104/04/17,14.03,5.16,1.21
104/04/20,13.69,5.29,1.18
104/04/21,13.69,5.29,1.18
104/04/22,13.96,5.19,1.20
104/04/23,14.09,5.14,1.21
104/04/24,14.18,5.11,1.22
104/04/27,14.50,4.99,1.25
104/04/28,14.28,5.07,1.23
104/04/29,14.28,5.07,1.23
104/04/30,13.91,5.21,1.20
104/05/04,14.00,5.17,1.21
104/05/05,14.03,5.16,1.21
104/05/06,14.05,5.15,1.21
104/05/07,13.76,5.26,1.19
104/05/08,13.85,5.23,1.19
104/05/11,13.76,5.26,1.19
104/05/12,13.58,5.33,1.17
104/05/13,13.76,5.26,1.19
104/05/14,14.12,5.13,1.21
104/05/15,13.43,5.21,1.19
104/05/18,13.29,5.26,1.18
104/05/19,13.60,5.14,1.20
104/05/20,13.37,5.23,1.18
104/05/21,13.29,5.26,1.18
104/05/22,13.41,5.21,1.19
104/05/25,13.51,5.17,1.20
104/05/26,13.53,5.17,1.20
104/05/27,13.62,5.13,1.20
104/05/28,13.63,5.13,1.21
104/05/29,13.63,5.13,1.21
104/06/01,13.49,5.18,1.19
104/06/02,13.51,5.17,1.20
104/06/03,13.51,5.17,1.20
104/06/04,13.32,5.25,1.18
104/06/05,13.29,5.26,1.18
104/06/08,12.87,5.43,1.14
