,日期,本益比,殖利率,股價淨值比,股價
207,104/11/12,12.28,6.25,1.04,33.59993
208,104/11/13,12.43,6.08,1.02,33.64998
209,104/11/16,12.25,6.18,1.01,32.89995
210,104/11/17,12.43,6.08,1.02,33.44999
211,104/11/18,12.45,6.08,1.02,33.89992
212,104/11/19,12.58,6.01,1.04,34.60
213,104/11/20,12.58,6.01,1.04,34.60
214,104/11/23,13.16,5.75,1.08,34.74994
215,104/11/24,13.11,5.77,1.08,34.64995
216,104/11/25,13.15,5.75,1.08,33.79992
217,104/11/26,13.3,5.69,1.09,33.89992
218,104/11/27,13.26,5.71,1.09,34.94994
219,104/11/30,12.55,6.03,1.03,35.19997
220,104/12/01,12.9,5.86,1.06,34.60
221,104/12/02,12.7,5.96,1.04,33.49993
222,104/12/03,12.81,5.91,1.05,33.44999
223,104/12/04,12.66,5.98,1.04,32.89995
224,104/12/07,12.85,5.89,1.06,32.24993
225,104/12/08,12.49,6.06,1.03,32.29997
226,104/12/09,12.36,6.12,1.02,33.19994
227,104/12/10,12.23,6.19,1.01,32.69996
228,104/12/11,12.06,6.27,0.99,33.19994
229,104/12/14,11.97,6.32,0.98,33.24999
230,104/12/15,11.87,6.37,0.98,33.59993
231,104/12/16,12.21,6.2,1.0,33.59993
232,104/12/17,12.13,6.23,1.0,35.14993
233,104/12/18,12.23,6.19,1.01,34.99998
234,104/12/21,12.13,6.23,1.0,35.09998
235,104/12/22,12.3,6.15,1.01,35.49996
236,104/12/23,12.19,6.21,1.0,35.39997
237,104/12/24,12.13,6.23,1.0,33.49993
238,104/12/25,12.17,6.22,1.0,34.44995
239,104/12/28,12.23,6.19,1.01,33.89992
240,104/12/29,12.08,6.26,0.99,34.20001
241,104/12/30,11.87,6.37,0.98,33.79992
242,104/12/31,11.93,6.34,0.98,34.30001
