鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
頭份鎮,房地(土地+建物),苗栗縣頭份鎮上興里15鄰永昌街1巷1~30號,21.62,,山坡地保育區,丙種建築用地,1051101,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,90.75999999999999,3,2,2,有,無,2200000,24240,,0.0,0,,RPRPMLKLJHMFFFK58CA
南庄鄉,土地,北獅里興段獅頭驛小段1~30地號,1562.0,,山坡地保育區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,320,,0.0,0,,RPQNMLPJJHMFFFK58CA
頭份鎮,房地(土地+建物)+車位,苗栗縣頭份鎮民族里3鄰自強路241~270號,14.73,住,,,1051201,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1010523,103.13,3,1,2,有,有,4780000,46349,坡道平面,0.0,0,,RPSNMLPJJHMFFFK78CA
南庄鄉,土地,北獅里興段北獅里興小段421~450地號,41760.0,,山坡地保育區,農牧用地,1051101,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12577500,301,,0.0,0,,RPUNMLPJJHMFFFK98CA
頭份鎮,土地,六合段1471~1500地號,47.82,,山坡地保育區,林業用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,2091,,0.0,0,,RPOOMLPJJHMFFFK48CA
頭份鎮,土地,蘆竹湳段蘆竹湳小段541~570地號,319.0,工,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3956000,12401,,0.0,0,,RPPOMLPJJHMFFFK58CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮上興里12鄰永祥街1~30號,90.98,,山坡地保育區,丙種建築用地,1051201,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860827,169.95,4,2,3,有,無,3900000,22948,,0.0,0,,RPUOMLPJJHMFFFK09CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮自強里16鄰自強路31~60號,7.95,住,,,1051101,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0860306,85.87,2,1,1,有,無,1700000,19797,,0.0,0,,RPPNMLQJJHMFFFK58CA
南庄鄉,土地,北獅里興段北獅里興小段1~30地號,1119.93,,山坡地保育區,丙種建築用地,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5760000,5143,,0.0,0,,RPTNMLKKJHMFFFK48CA
南庄鄉,土地,北獅里興段北獅里興小段1~30地號,232.27,,山坡地保育區,丙種建築用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,955000,4112,,0.0,0,,RPUNMLKKJHMFFFK58CA
南庄鄉,土地,北獅里興段北獅里興小段1~30地號,394.41,,山坡地保育區,丙種建築用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1620000,4107,,0.0,0,,RPVNMLKKJHMFFFK68CA
南庄鄉,土地,北獅里興段北獅里興小段1~30地號,678.39,,山坡地保育區,丙種建築用地,1051201,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1665000,2454,,0.0,0,,RPWNMLKKJHMFFFK78CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里1鄰大埔一街1~30號,9.05,商,,,1051201,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050518,70.85,1,2,1,有,有,3850000,56072,其他,8.43,350000,,RPQNMLMKJHMFFDK18CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里2鄰科專二路211~240號,96.15,住,,,1051201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050301,309.95,11,0,11,有,有,17200000,55493,,0.0,0,,RPUNMLMKJHMFFDK58CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里2鄰科專二路213巷1~30號,74.59,住,,,1051201,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050301,222.22,11,0,11,有,有,11900000,53551,,0.0,0,,RPVNMLMKJHMFFDK68CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里2鄰科專二路213巷1~30號,66.33,住,,,1051201,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1050301,224.15,11,0,11,有,有,11100000,49520,,0.0,0,,RPUNMLNJKHMFFDK68CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮龍津里4鄰公司寮31~60號,41.81,,鄉村區,乙種建築用地,1051001,土地2建物1車位0,全,一層,透天厝,住家用,加強磚造,0521230,20.41,3,2,1,有,無,205000,10044,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRPMLNJKHMFFDK58CA
竹南鎮,土地,海口段海口小段781~810地號,824.0,,特定農業區,農牧用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2741860,3328,,0.0,0,共有人承買之。,RPUNMLNLJHMFFDK78CA
造橋鄉,土地,南豐湖段421~450地號,1069.3,,山坡地保育區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,468,,0.0,0,親友特殊關係間之交易。,RPQNMLLKJHMFFDK08CA
頭份鎮,土地,信義段481~510地號,2951.46,農,,,1051101,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000000,6776,,0.0,0,,RPXNMLKKJHMFFFK88CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮民權里7鄰東興路165巷31~60號,10.72,住,,,1051201,土地1建物1車位0,三層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1041221,43.6,1,1,1,有,有,2600000,59633,,0.0,0,,RPQNMLLKJHMFFFK28CA
頭份鎮,房地(土地+建物),苗栗縣頭份鎮民族里3鄰自強路241~270號,11.74,住,,,1051201,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1010523,57.63,4,0,4,有,有,4400000,76349,,0.0,0,,RPTNMLMKJHMFFFK68CA
