編號,車位類別,車位價格,車位面積平方公尺
RPROMLNLJHMFFDJ48CA,一樓平面,0,
RPUQMLQJKHMFFCJ09CA,坡道機械,0,
RPVTMLOLJHMFFBJ66CA,坡道平面,0,29.31
RPVTMLOLJHMFFBJ66CA,坡道平面,0,29.31
RPVTMLOLJHMFFBJ66CA,坡道平面,0,29.31
RPOOMLLKJHMFFBJ67CA,坡道平面,0,31.60
RPOOMLLKJHMFFBJ67CA,坡道平面,0,36.00
RPSNMLOKJHMFFBJ28CA,坡道平面,0,18.84
RPSNMLOKJHMFFBJ28CA,坡道平面,0,18.84
RPOOMLOLJHMFFBJ08CA,坡道平面,0,29.81
RPWVMLPLJHMFFBJ07CA,坡道機械,0,16.55
RPUPMLPLJHMFFBJ88CA,坡道平面,0,
RPUPMLPLJHMFFBJ88CA,坡道平面,0,
RPXOMLTKJHMFFBJ76CA,坡道機械,0,
RPWNMLOKJHMFFBJ68CA,坡道平面,0,26.10
RPWNMLOKJHMFFBJ68CA,坡道平面,0,26.10
RPWNMLOKJHMFFBJ68CA,坡道平面,0,30.19
RPWNMLOKJHMFFBJ68CA,坡道平面,0,30.19
RPXNMLOLJHMFFCJ98CA,升降機械,0,
RPXNMLOLJHMFFCJ98CA,升降機械,0,
RPPNMLNJKHMFFBJ87CA,坡道平面,0,35.85
RPPNMLNJKHMFFBJ87CA,坡道平面,0,35.85
RPPNMLNJKHMFFBJ87CA,坡道平面,0,35.85
RPPOMLRJKHMFFCJ48CA,一樓平面,0,
RPQOMLNLJHMFFDJ38CA,一樓平面,0,
RPRNMLQJKHMFFDJ58CA,坡道平面,850000,48.62
RPSQMLQJKHMFFCJ88CA,坡道平面,0,
RPWNMLMJKHMFFCJ58CA,坡道平面,1000000,36.86
RPXNMLMJKHMFFCJ68CA,坡道平面,950000,36.86
RPOOMLMJKHMFFCJ87CA,坡道平面,950000,36.86
RPPOMLMJKHMFFCJ97CA,坡道平面,950000,36.86
RPQOMLMJKHMFFCJ08CA,坡道平面,1000000,36.86
RPROMLMJKHMFFCJ18CA,坡道平面,950000,36.86
RPROMLRKJHMFFCJ68CA,坡道平面,0,
RPVNMLRKJHMFFCJ98CA,坡道平面,0,
RPXRMLNKJHMFFBJ09CA,坡道機械,0,
RPSOMLQKJHMFFBJ58CA,坡道平面,1150000,23.77
RPSOMLQKJHMFFBJ58CA,坡道平面,1150000,23.77
RPRNMLKLJHMFFBJ87CA,坡道平面,0,28.51
RPRNMLKLJHMFFBJ87CA,坡道機械,0,18.25
RPTOMLTKJHMFFBJ98CA,坡道機械,0,
RPSOMLSKJHMFFBJ78CA,坡道平面,1100000,35.13
RPSQMLNLJHMFFBJ58CA,坡道平面,0,31.88
RPSQMLNLJHMFFBJ58CA,坡道平面,0,31.88
RPUOMLLLJHMFFBJ38CA,坡道平面,1000000,29.83
RPVOMLLLJHMFFBJ48CA,坡道平面,900000,29.83
RPWOMLLLJHMFFBJ58CA,坡道機械,350000,19.94
RPTNMLLLJHMFFBJ18CA,坡道平面,1000000,29.83
RPUNMLLLJHMFFBJ28CA,坡道平面,1100000,29.83
RPVNMLLLJHMFFBJ38CA,坡道平面,800000,29.83
RPWNMLLLJHMFFBJ48CA,坡道平面,1100000,29.83
RPXNMLLLJHMFFBJ58CA,坡道平面,900000,29.83
RPOOMLLLJHMFFBJ77CA,坡道平面,1100000,29.83
RPPOMLLLJHMFFBJ87CA,坡道平面,900000,29.83
RPQOMLLLJHMFFBJ97CA,坡道平面,900000,29.83
RPROMLLLJHMFFBJ08CA,坡道平面,900000,29.83
RPSOMLLLJHMFFBJ18CA,坡道機械,350000,19.94
RPQNMLOKJHMFFBJ08CA,坡道平面,0,39.92
RPUPMLNKJHMFFBJ58CA,坡道平面,1425000,39.67
RPUPMLNKJHMFFBJ58CA,坡道平面,1425000,39.67
RPSRMLNKJHMFFBJ58CA,坡道平面,0,29.87
RPSRMLNKJHMFFBJ58CA,坡道平面,0,29.87
RPROMLKLJHMFFBJ97CA,坡道平面,0,33.10
RPTPMLNLJHMFFBJ58CA,坡道平面,0,35.68
RPTPMLNLJHMFFBJ58CA,坡道平面,0,35.68
RPXRMLOLJHMFFBJ66CA,坡道平面,0,29.31
RPXRMLOLJHMFFBJ66CA,坡道平面,0,29.31
RPWQMLPLJHMFFBJ56CA,坡道平面,0,
RPTOMLSKJHMFFBJ88CA,坡道平面,0,
RPTOMLSKJHMFFBJ88CA,坡道平面,0,
RPTNMLSKJHMFFBJ78CA,坡道平面,0,30.46
RPQOMLSKJHMFFBJ58CA,坡道平面,0,37.19
RPQOMLSKJHMFFBJ58CA,坡道平面,0,37.19
RPOPMLTKJHMFFBJ58CA,坡道平面,1550000,39.66
RPOPMLTKJHMFFBJ58CA,坡道平面,1550000,39.66
RPQOMLQKJHMFFBJ38CA,坡道平面,0,23.31
RPROMLQKJHMFFBJ48CA,坡道平面,480000,31.33
RPUNMLOKJHMFFBJ48CA,坡道平面,0,
RPQNMLSKJHMFFCJ58CA,一樓平面,0,
RPOQMLKLJHMFFCJ97CA,坡道平面,0,
RPSOMLMJKHMFFCJ28CA,坡道平面,1050000,36.86
RPTOMLMJKHMFFCJ38CA,坡道平面,950000,36.86
RPUOMLMJKHMFFCJ48CA,坡道平面,950000,36.86
RPVOMLMJKHMFFCJ58CA,坡道平面,1000000,36.86
RPWOMLMJKHMFFCJ68CA,坡道平面,1050000,36.86
RPRNMLNJKHMFFCJ18CA,坡道平面,1000000,36.86
RPPNMLSJKHMFFCJ48CA,坡道平面,900000,
RPOOMLQJKHMFFCJ28CA,坡道平面,0,
RPXOMLNJKHMFFCJ88CA,坡道平面,850000,
RPVPMLNJKHMFFCJ78CA,坡道平面,850000,
RPWPMLNJKHMFFCJ88CA,坡道平面,1100000,
RPUQMLNJKHMFFCJ78CA,坡道平面,900000,
RPSNMLQJKHMFFDJ68CA,坡道平面,950000,51.03
RPTNMLQJKHMFFDJ78CA,坡道平面,950000,51.03
