鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
龜山區,房地(土地+建物)+車位,桃園市龜山區文學路241~270號,23.35,住,,,1051001,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041113,191.19,4,2,2,有,有,8540000,44466,坡道平面,26.12,1200000,,RPTNMLSKJILFFHH56CA
中壢區,房地(土地+建物),桃園市中壢區民權路151~180號,27.29,住,,,1051101,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781125,151.32,1,1,2,有,無,8100000,53529,,0.0,0,含增建部分,RPVNMLOKKHMFFBH68EA
中壢區,房地(土地+建物),桃園市中壢區新中二街10巷1~30號,19.28,住,,,1051101,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810831,87.52,3,2,1,有,有,4300000,49132,,0.0,0,,RPQPMLOKKHMFFBH38EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,17.8,住,,,1031101,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1050427,129.35000000000002,1,1,1,有,有,12000000,110783,坡道平面,34.57,1500000,,RPOPMLKKKHMFFAH67EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,23.43,住,,,1031101,土地1建物1車位1,一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1050427,170.23,1,1,2,有,有,16500000,110571,坡道平面,34.57,1500000,,RPPPMLKKKHMFFAH77EA
桃園區,房地(土地+建物)+車位,桃園市桃園區健行路91~120號,15.8,住,,,1031101,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050427,114.66,2,2,1,有,有,7650000,76789,坡道平面,34.57,1500000,,RPQPMLKKKHMFFAH87EA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區廣德街238巷1~30號,21.57,住,,,1051001,土地1建物2車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0891025,150.82,3,2,2,有,有,7500000,49728,坡道平面,0.0,0,,RPQOMLNLKHMFFGH78EA
中壢區,房地(土地+建物),桃園市中壢區晉元路337巷1~30號,74.0,住,,,1051001,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0630410,74.0,3,2,2,有,無,5800000,78378,,0.0,0,,RPOQMLPKKILFFBH28DA
龜山區,房地(土地+建物)+車位,桃園市龜山區龍鳳街1~30號,26.65,住,,,1051101,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040618,152.14,3,2,2,有,有,12430000,81701,坡道平面,28.9,0,親友、員工或其他特殊關係間之交易。,RPXNMLSLKILFFHH17CA
桃園區,房地(土地+建物),桃園市桃園區南華街199巷1~30號,5.99,住,,,1051201,土地2建物1車位0,五層，陽台,六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690820,36.21,1,1,1,有,無,1000000,27617,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLMJKHMFFAH18EA
觀音區,房地(土地+建物)+車位,桃園市觀音區民生路71巷31~60號,625.0,,工業區,丁種建築用地,1051101,土地1建物5車位6,二層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971201,2473.37,66,66,66,有,無,64500000,26078,坡道平面,0.0,0,,RPOOMLSKKHMFFBH48EA
桃園區,房地(土地+建物),桃園市桃園區大有路151~180號,5.06,住,,,1051101,土地1建物1車位0,八層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830318,43.57,1,0,1,有,有,1850000,42460,,0.0,0,,RPPNMLNJKHMFFAH77EA
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路31~60號,26.85,住,,,1051101,土地1建物2車位1,一層，二層，騎樓,十九層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0930323,293.28,0,0,1,無,有,38500000,131274,坡道平面,0.0,0,,RPWNMLRJKHMFFAH88EA
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐三街91~120號,13.38,商,,,1051001,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040706,141.63,3,2,2,有,有,9220000,66527,坡道平面,27.09,1600000,,RPUNMLRJKHMFFAH68EA
桃園區,土地,中路段1591~1620地號,195.0,工,,,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,76923,,0.0,0,,RPWNMLNJKHMFFAH48EA
中壢區,房地(土地+建物),桃園市中壢區元化路241~270號,5.34,住,,,1051201,土地1建物1車位0,十層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940301,41.49,1,1,1,有,有,3450000,83153,,0.0,0,,RPUNMLOKKHMFFBH38CA
桃園區,房地(土地+建物),桃園市桃園區延平路1~30號,36.75,住,,,1051201,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691020,91.30000000000001,4,2,2,有,無,2481575,27180,,0.0,0,,RPROMLKKKHMFFAH87EA
中壢區,房地(土地+建物),桃園市中壢區大勇二街1~30號,7.65,住,,,1051201,土地1建物1車位0,四層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841008,38.23,0,0,0,無,有,1000000,26157,,0.0,0,瑕疵物件之交易。,RPQOMLNKKHMFFBH08DA
復興區,土地,霞雲段1291~1320地號,6270.0,,一般農業區,農牧用地,1051201,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,255,,0.0,0,結拜兄弟價格低,RPSNMLTLKILFFCH09EA
平鎮區,房地(土地+建物),桃園市平鎮區廣豐街35巷2弄1~30號,84.48,住,,,1051101,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0701203,130.3,5,1,3,有,無,5500000,42210,,0.0,0,,RPWNMLOLKHMFFGH76EA
中壢區,房地(土地+建物)+車位,桃園市中壢區榮安一街391~420號,32.88,住,,,1051001,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920710,176.42000000000002,3,2,1,有,有,6800000,38544,坡道平面,0.0,0,,RPPNMLOKKHMFFBH87CA
龍潭區,土地,北龍段601~630地號,10.67,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,46860,,0.0,0,畸零地或有合併使用之交易。,RPOPMLSLKILFFCH58CA
龍潭區,土地,金龍段241~270地號,369.3,,一般農業區,農牧用地,1051001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,4062,,0.0,0,,RPXOMLMJJHMFFCH48CA
龍潭區,房地(土地+建物),桃園市龍潭區中興路187巷91~120號,42.58,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700519,41.18,3,2,2,有,無,1500000,36425,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOPMLMJJHMFFCH67CA
龍潭區,房地(土地+建物),桃園市龍潭區渴望路243巷1~30號,107.72,,山坡地保育區,丙種建築用地,1051101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0941124,176.2,4,3,3,有,無,7150000,40579,,0.0,0,,RPUOMLPJJHMFFCH48CA
龍潭區,房地(土地+建物),桃園市龍潭區民有路241~270號,16.06,其他,,,1051201,土地1建物1車位0,二層，見其他登記事項,十層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0950410,54.58,1,1,1,有,有,2300000,42140,,0.0,0,,RPOOMLLKJHMFFCH57CA
龍潭區,土地,文化段1051~1080地號,494.44,,一般農業區,農牧用地,1051101,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10200000,20629,,0.0,0,,RPPNMLOKJHMFFCH87CA
