鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
北斗鎮,土地,螺青段1081~1110地號,2478.17,農,,,1051201,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15643028,6312,,0.0,0,,RPQNMLQKJHMFFFN09CA
芳苑鄉,土地,芳興段211~240地號,2743.0,,特定農業區,農牧用地,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1094,,0.0,0,,RPWNMLQJJHMFFGN07CA
二林鎮,房地(土地+建物),彰化縣二林鎮福建巷2弄1~30號,84.0,,特定農業區,甲種建築用地,1051201,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0840824,136.56,2,2,2,有,無,2300000,16842,,0.0,0,,RPSNMLTJJHMFFGN96CA
二林鎮,土地,豐田段181~210地號,800.0,,一般農業區,農牧用地,1051101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,1000,,0.0,0,,RPRNMLPJJHMFFGN09CA
二林鎮,土地,犁頭厝段31~60地號,221.0,,鄉村區,乙種建築用地,1051201,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,4525,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTNMLMKJHMFFGN09CA
埔鹽鄉,土地,三省段751~780地號,42.71,,鄉村區,乙種建築用地,1050801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,258412,6050,,0.0,0,,RPQNMLOJJHMFFHN98CA
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮湖東里大溪路二段73巷212弄1~30號,139.0,住,,,1051201,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040807,169.34,4,2,3,有,無,7850000,46356,,0.0,0,含增建或未登記建物。,RPSNMLSJJHMFFHN96CA
秀水鄉,土地,秀水段421~450地號,20.3,工,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,669900,33000,,0.0,0,向政府機關承購之案件。,RPWOMLQJJHMFFAN66DA
秀水鄉,土地,秀水段421~450地號,30.65,工,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1011450,33000,,0.0,0,向政府機關承購之案件。,RPXOMLQJJHMFFAN76DA
秀水鄉,土地,秀水段421~450地號,16.7,工,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,551100,33000,,0.0,0,向政府機關承購之案件。,RPOPMLQJJHMFFAN58DA
