編號,車位類別,車位價格,車位面積平方公尺
RPRNMLPKKHMFFBB57CA,坡道平面,1200000,31.44
RPSNMLPKKHMFFBB67CA,坡道平面,1200000,31.44
RPTNMLPKKHMFFBB77CA,坡道平面,1100000,31.44
RPVNMLPKKHMFFBB97CA,坡道平面,1200000,31.44
RPWNMLPKKHMFFBB08CA,坡道平面,1200000,31.44
RPOOMLPKKHMFFBB37CA,坡道平面,1250000,31.44
RPPOMLPKKHMFFBB47CA,坡道平面,1200000,31.44
RPQOMLPKKHMFFBB57CA,坡道平面,1100000,31.44
RPROMLPKKHMFFBB67CA,坡道平面,1100000,31.44
RPSOMLPKKHMFFBB77CA,坡道平面,1100000,31.44
RPOOMLOKKHMFFBB27CA,一樓平面,0,
RPOPMLRKJHMFFCB67CA,坡道平面,0,23.47
RPOPMLRKJHMFFCB67CA,坡道平面,0,23.47
RPQOMLSKJHMFFCB87CA,坡道平面,0,
RPSQMLSKJHMFFCB28CA,坡道平面,1800000,26.82
RPSQMLSKJHMFFCB28CA,坡道平面,1800000,26.82
RPSUMLTKJHMFFCB78CA,坡道機械,0,14.11
RPTSMLKLJHMFFCB87CA,坡道平面,0,32.77
RPTSMLKLJHMFFCB87CA,坡道平面,0,32.77
RPPTMLKLJHMFFCB57CA,坡道機械,500000,
RPROMLNLJHMFFCB57CA,坡道機械,800000,
RPPNMLNLJHMFFCB27CA,坡道平面,0,7.02
RPOQMLOLJHMFFCB57CA,坡道平面,0,
RPQQMLPLJHMFFCB87CA,坡道機械,0,
RPWQMLPLJHMFFCB48CA,坡道平面,1600000,31.49
RPWQMLPLJHMFFCB48CA,坡道平面,1600000,31.49
RPPPMLMJKHMFFCB27CA,坡道機械,0,
RPTPMLNJKHMFFCB77CA,坡道平面,0,18.04
RPTPMLNJKHMFFCB77CA,坡道平面,0,15.83
RPVQMLPKKHMFFHL27CA,坡道平面,1100000,28.65
RPQNMLPKKHMFFHL09CA,坡道平面,1100000,28.65
RPQNMLPKKHMFFHL09CA,坡道平面,1100000,28.65
RPSNMLPKKHMFFHL66CA,坡道平面,1200000,28.65
RPSNMLPKKHMFFHL66CA,坡道平面,1200000,28.65
RPUNMLPKKHMFFHL86CA,坡道平面,1100000,28.65
RPVNMLPKKHMFFHL96CA,坡道平面,1000000,28.65
RPWNMLPKKHMFFHL07CA,坡道平面,1100000,28.65
RPXNMLPKKHMFFHL17CA,坡道平面,1100000,28.65
RPXNMLPKKHMFFHL17CA,坡道平面,1100000,28.65
RPOOMLPKKHMFFHL98CA,坡道平面,1100000,28.65
RPOOMLPKKHMFFHL98CA,坡道平面,1100000,28.65
RPXOMLPKKHMFFHL27CA,坡道平面,1100000,28.65
RPOPMLPKKHMFFHL09CA,坡道平面,1000000,28.65
RPPPMLPKKHMFFHL56CA,坡道平面,1000000,28.65
RPQPMLPKKHMFFHL66CA,坡道平面,1200000,28.65
RPRPMLPKKHMFFHL76CA,坡道平面,1100000,28.65
RPRPMLPKKHMFFHL76CA,坡道平面,1100000,28.65
RPQOMLPKKHMFFHL56CA,坡道平面,700000,28.65
RPROMLPKKHMFFHL66CA,坡道平面,1000000,28.65
RPSOMLPKKHMFFHL76CA,坡道平面,1000000,28.65
RPTOMLPKKHMFFHL86CA,坡道平面,1000000,28.65
RPUOMLPKKHMFFHL96CA,坡道平面,1100000,28.65
RPVOMLPKKHMFFHL07CA,坡道平面,1000000,28.65
RPVPMLPKKHMFFHL17CA,坡道平面,1100000,28.65
RPVPMLPKKHMFFHL17CA,坡道平面,1100000,28.65
RPXPMLPKKHMFFHL37CA,坡道平面,1000000,28.65
RPXPMLPKKHMFFHL37CA,坡道平面,1000000,28.65
RPPQMLPKKHMFFHL66CA,坡道平面,1200000,28.65
RPPQMLPKKHMFFHL66CA,坡道平面,1200000,28.65
RPRQMLPKKHMFFHL86CA,坡道平面,1000000,28.65
RPTQMLPKKHMFFHL07CA,坡道平面,1200000,28.65
RPUQMLPKKHMFFHL17CA,坡道平面,1100000,28.65
RPSQMLPKKHMFFHL96CA,坡道平面,1000000,28.65
RPQQMLPKKHMFFHL76CA,坡道平面,1200000,28.65
RPOQMLPKKHMFFHL56CA,坡道平面,1100000,28.65
RPOQMLPKKHMFFHL56CA,坡道平面,1100000,28.65
RPWPMLPKKHMFFHL27CA,坡道平面,1100000,28.65
RPWPMLPKKHMFFHL27CA,坡道平面,1100000,28.65
RPWOMLPKKHMFFHL17CA,坡道平面,1000000,28.65
RPSPMLPKKHMFFHL86CA,坡道平面,1000000,28.65
RPSPMLPKKHMFFHL86CA,坡道平面,1000000,28.65
RPTPMLPKKHMFFHL96CA,坡道平面,1100000,28.65
RPTPMLPKKHMFFHL96CA,坡道平面,1100000,28.65
RPUPMLPKKHMFFHL07CA,坡道平面,1000000,28.65
RPUPMLPKKHMFFHL07CA,坡道平面,1000000,28.65
RPPOMLPKKHMFFHL09CA,坡道平面,1100000,28.65
RPTNMLPKKHMFFHL76CA,坡道平面,1100000,28.65
RPTNMLPKKHMFFHL76CA,坡道平面,1100000,28.65
RPRNMLPKKHMFFHL56CA,坡道平面,1000000,28.65
RPRNMLPKKHMFFHL56CA,坡道平面,1000000,28.65
RPWQMLPKKHMFFHL37CA,坡道平面,1100000,28.65
RPXQMLPKKHMFFHL47CA,坡道平面,1000000,28.65
RPORMLPKKHMFFHL66CA,坡道平面,1000000,28.65
RPPRMLPKKHMFFHL76CA,坡道平面,1000000,28.65
RPQRMLPKKHMFFHL86CA,坡道平面,1000000,28.65
RPRRMLPKKHMFFHL96CA,坡道平面,1000000,28.65
RPSRMLPKKHMFFHL07CA,坡道平面,1000000,28.65
RPTRMLPKKHMFFHL17CA,坡道平面,1200000,28.65
RPURMLPKKHMFFHL27CA,坡道平面,1200000,28.65
RPVRMLPKKHMFFHL37CA,坡道平面,1000000,28.65
RPWRMLPKKHMFFHL47CA,坡道平面,1000000,28.65
RPXRMLPKKHMFFHL57CA,坡道平面,0,28.65
RPOSMLPKKHMFFHL76CA,坡道平面,1000000,28.65
RPPSMLPKKHMFFHL86CA,坡道平面,1000000,28.65
RPQSMLPKKHMFFHL96CA,坡道平面,1100000,28.65
RPRSMLPKKHMFFHL07CA,坡道平面,1200000,28.65
RPSSMLPKKHMFFHL17CA,坡道平面,1100000,28.65
RPTSMLPKKHMFFHL27CA,坡道平面,1000000,28.65
RPUSMLPKKHMFFHL37CA,坡道平面,1200000,28.65
RPVSMLPKKHMFFHL47CA,坡道平面,1200000,28.65
RPWSMLPKKHMFFHL57CA,坡道平面,1100000,28.65
RPXSMLPKKHMFFHL67CA,坡道平面,1000000,28.65
RPOTMLPKKHMFFHL86CA,坡道平面,1000000,28.65
RPPTMLPKKHMFFHL96CA,坡道平面,1100000,28.65
RPPTMLPKKHMFFHL96CA,坡道平面,1000000,28.65
RPQTMLPKKHMFFHL07CA,坡道平面,1100000,28.65
RPRTMLPKKHMFFHL17CA,坡道平面,1000000,28.65
RPSTMLPKKHMFFHL27CA,坡道平面,1000000,28.65
RPTTMLPKKHMFFHL37CA,坡道平面,1100000,28.65
RPUTMLPKKHMFFHL47CA,坡道平面,1000000,28.65
RPVTMLPKKHMFFHL57CA,坡道平面,1200000,28.65
RPWTMLPKKHMFFHL67CA,坡道平面,1200000,28.65
RPXTMLPKKHMFFHL77CA,坡道平面,1000000,28.65
RPOUMLPKKHMFFHL96CA,坡道平面,1000000,28.65
RPQUMLPKKHMFFHL17CA,坡道平面,1000000,28.65
RPOOMLNLJHMFFHL78CA,坡道平面,1150000,31.86
RPUNMLSKJHMFFHL07CA,坡道機械,0,
RPTOMLTKJHMFFHL17CA,坡道平面,1200000,36.40
RPUOMLTKJHMFFHL27CA,坡道平面,1200000,36.41
RPUOMLSKJHMFFBB28DA,坡道平面,0,
RPUNMLNKKHMFFGL66DA,坡道平面,0,35.85
RPROMLMJKHMFFCB37CA,坡道機械,0,
RPWUMLKLJHMFFCB38CA,坡道機械,0,
RPWSMLKLJHMFFCB18CA,坡道機械,0,12.56
RPWSMLKLJHMFFCB18CA,坡道機械,0,12.56
RPOQMLSKJHMFFCB87CA,坡道平面,0,
RPOQMLSKJHMFFCB87CA,坡道平面,0,
RPOQMLSKJHMFFCB87CA,坡道平面,0,
RPWNMLQJKHMFFBB08CA,坡道平面,0,34.72
RPQPMLPLJHMFFBB67CA,坡道機械,0,
RPWOMLOLJHMFFBB08CA,坡道機械,260000,19.58
RPQSMLTKJHMFFBB28CA,坡道平面,0,20.00
RPUNMLLLJHMFFBB47CA,坡道機械,0,
RPQNMLNLJHMFFBB27CA,升降平面,0,
RPOPMLNLJHMFFBB27CA,坡道平面,0,
RPRPMLNLJHMFFBB57CA,坡道機械,600000,
RPWPMLNLJHMFFBB08CA,坡道平面,1100000,
RPTQMLTKJHMFFBB38CA,坡道機械,0,22.50
RPORMLTKJHMFFBB97CA,坡道平面,1300000,28.13
RPORMLTKJHMFFBB97CA,坡道平面,1300000,28.13
RPPPMLRKJHMFFBB67CA,坡道平面,450000,
RPPPMLQKKHMFFAB57CA,坡道平面,0,27.14
RPSPMLNKKHMFFAB57CA,坡道平面,0,23.41
RPQNMLNKKHMFFAB17CA,坡道平面,0,24.11
RPROMLOLJHMFFAB47CA,坡道平面,0,28.11
RPSOMLNLJHMFFAB47CA,坡道機械,0,12.52
RPWUMLKLJHMFFAB18CA,坡道平面,1000000,29.75
RPSSMLTKJHMFFAB38CA,坡道平面,0,33.85
RPSOMLSKJHMFFAB87CA,坡道平面,1400000,23.32
RPWNMLQJKHMFFAL98CA,坡道平面,0,
RPRRMLNKKHMFFCB87CA,升降機械,0,17.48
RPRRMLNKKHMFFCB87CA,升降機械,0,17.48
RPRRMLNKKHMFFCB87CA,升降機械,0,17.48
RPPNMLQKKHMFFCB57CA,坡道平面,1400000,28.10
RPPNMLQKKHMFFCB57CA,坡道平面,1300000,31.40
RPPNMLQKKHMFFCB57CA,坡道平面,1300000,31.40
SPPNMLQKKHMFFCB67CA,坡道平面,1500000,28.10
SPPNMLQKKHMFFCB67CA,坡道平面,1200000,31.40
SPPNMLQKKHMFFCB67CA,坡道平面,1300000,28.10
TPPNMLQKKHMFFCB77CA,坡道平面,1600000,31.40
TPPNMLQKKHMFFCB77CA,坡道平面,1200000,28.10
TPPNMLQKKHMFFCB77CA,坡道平面,1200000,28.10
RPRNMLQKKHMFFCB77CA,坡道機械,0,
RPTRMLOKKHMFFCB18CA,坡道平面,0,21.49
RPVOMLRJKHMFFCB28CA,升降機械,0,
RPPNMLTJKHMFFCB77CA,坡道平面,0,20.99
RPOOMLTJKHMFFCB77CA,坡道平面,0,24.71
RPOOMLTJKHMFFCB77CA,坡道平面,0,24.71
RPQNMLNJKHMFFFL58CA,坡道平面,0,15.34
RPUNMLMJKHMFFGL98CA,坡道機械,0,
RPWNMLKKKHMFFGL09CA,坡道平面,0,31.54
RPUNMLKLJHMFFGL88CA,升降機械,0,42.75
RPOPMLSKJHMFFGL56CA,坡道平面,0,32.37
RPSPMLNLJHMFFGL56CA,坡道機械,0,
RPOPMLOLJHMFFGL88CA,坡道機械,0,
RPPPMLTKJHMFFGL76CA,坡道平面,1150000,27.13
RPRPMLTKJHMFFGL96CA,坡道平面,990000,25.03
RPPNMLTKJHMFFGL56CA,升降機械,400000,7.02
RPPOMLTKJHMFFGL66CA,坡道平面,1150000,29.34
RPPOMLTKJHMFFGL66CA,坡道平面,1150000,29.34
RPROMLNJKHMFFGL88CA,坡道平面,0,27.22
RPVNMLOKKHMFFFL66CA,坡道機械,800000,16.54
RPWNMLOKKHMFFFL76CA,坡道機械,800000,16.54
RPXNMLOKKHMFFFL86CA,坡道平面,1350000,33.07
RPQNMLQJKHMFFFL88CA,坡道機械,0,
RPSOMLPLJHMFFFL56CA,坡道平面,0,18.17
RPROMLKLJHMFFAL08CA,坡道平面,1200000,
RPQOMLPKKHMFFCB67CA,坡道平面,0,
RPUPMLTKJHMFFAB28CA,坡道平面,0,
RPUPMLTKJHMFFAB28CA,其他,0,
RPRWMLKLJHMFFAB87CA,坡道平面,0,28.45
RPPNMLOLJHMFFAB17CA,坡道平面,1000000,34.12
RPVNMLQLJHMFFAB97CA,坡道平面,0,28.21
RPVNMLQLJHMFFAB97CA,坡道平面,0,28.21
RPUNMLTJKHMFFAB08CA,升降機械,500000,
RPWOMLMJKHMFFAB67CA,坡道平面,670000,31.20
SPWOMLMJKHMFFAB77CA,其他,1000000,51.32
TPWOMLMJKHMFFAB87CA,坡道平面,750000,31.20
UPWOMLMJKHMFFAB97CA,坡道平面,750000,31.20
VPWOMLMJKHMFFAB08CA,坡道平面,670000,31.20
RPXOMLMJKHMFFAB77CA,其他,1000000,53.64
SPXOMLMJKHMFFAB87CA,其他,0,53.64
SPXOMLMJKHMFFAB87CA,其他,0,47.89
TPXOMLMJKHMFFAB97CA,坡道平面,750000,32.57
UPXOMLMJKHMFFAB08CA,坡道平面,0,32.57
UPXOMLMJKHMFFAB08CA,坡道平面,0,32.57
VPXOMLMJKHMFFAB18CA,坡道平面,720000,32.57
WPXOMLMJKHMFFAB28CA,坡道平面,660000,29.69
XPXOMLMJKHMFFAB38CA,坡道平面,650000,29.69
YPXOMLMJKHMFFAB48CA,坡道平面,0,32.57
YPXOMLMJKHMFFAB48CA,坡道平面,0,32.57
ZPXOMLMJKHMFFAB58CA,坡道平面,650000,29.69
RPSOMLPKKHMFFAB67CA,坡道平面,1300000,27.37
RPQPMLPKKHMFFAB57CA,坡道平面,1150000,29.75
RPRPMLPKKHMFFAB67CA,坡道平面,1050000,29.75
RPSPMLPKKHMFFAB77CA,坡道平面,1150000,29.75
RPTPMLPKKHMFFAB87CA,坡道平面,1050000,29.75
RPUPMLPKKHMFFAB97CA,坡道平面,1150000,29.75
RPVPMLPKKHMFFAB08CA,坡道平面,1300000,29.75
RPWPMLPKKHMFFAB18CA,坡道平面,1100000,29.75
RPXPMLPKKHMFFAB28CA,坡道平面,1050000,29.75
RPOQMLPKKHMFFAB47CA,坡道平面,1100000,29.75
RPRNMLQKKHMFFAB57CA,坡道平面,1050000,29.75
RPVNMLQKKHMFFAB97CA,坡道平面,0,42.17
RPVNMLQKKHMFFAB97CA,坡道平面,0,42.17
RPVNMLQKKHMFFAB97CA,坡道平面,0,42.17
RPXNMLQKKHMFFAB18CA,坡道平面,0,42.17
RPXNMLQKKHMFFAB18CA,坡道平面,0,42.17
RPXNMLQKKHMFFAB18CA,坡道平面,0,42.17
RPXNMLQKKHMFFAB18CA,坡道平面,0,42.17
RPXNMLQKKHMFFAB18CA,坡道平面,0,42.17
RPRRMLTKJHMFFBB28CA,坡道平面,0,
RPUPMLSKJHMFFBB28CA,坡道機械,0,
