編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNKJHMFFCQ88DA,21,2.75,共有部份,鋼筋混凝土造,85年2月9日,五層,
RPQNMLNKJHMFFCQ88DA,21,2.53,共有部份,鋼筋混凝土造,85年2月9日,五層,
RPTNMLSKJHMFFBQ86CA,22,88.02,住家用,鋼筋混凝土造,83年9月10日,十二層,八層
RPTNMLSKJHMFFBQ86CA,22,27.44,見其他登記事項,鋼筋混凝土造,83年9月10日,十三層,
RPTNMLSKJHMFFBQ86CA,22,88.02,住家用,鋼筋混凝土造,83年9月10日,十二層,八層
RPTNMLSKJHMFFBQ86CA,22,10.01,見其他登記事項,鋼筋混凝土造,83年9月10日,十二層,
RPPPMLTKJHMFFCQ86CA,,261.42,見其他登記事項,鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPXOMLTKJHMFFCQ57CA,,181.96,見其他登記事項,鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 見其他登記事項
RPOOMLTJJHMFFDQ66CA,,170.95,住家用,鋼筋混凝土造,105年8月19日,三層,一層 二層 三層 見其他登記事項
RPPOMLTJJHMFFDQ76CA,,172.19,住家用,鋼筋混凝土造,105年8月19日,三層,一層 二層 三層 見其他登記事項
RPQOMLLKJHMFFDQ78CA,,141.80,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPROMLLKJHMFFDQ88CA,,160.39,住家用,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPSOMLLKJHMFFDQ98CA,,141.80,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPTOMLLKJHMFFDQ09CA,,160.39,住家用,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPPNMLOJKHMFFDQ88CA,,195.51,見其他登記事項,鋼筋混凝土造,105年8月31日,三層,一層 二層 三層 見其他登記事項
RPQOMLSKJHMFFDQ86CA,39,62.87,住家用,磚造,66年5月25日,一層,一層
RPQNMLNKJHMFFEQ98CA,1,207.33,見其他登記事項,鋼筋混凝土造,105年2月2日,三層,一層 二層 三層
RPWNMLOLJHMFFDQ07CA,37,102.71,住家用,鋼筋混凝土加強磚造,68年9月1日,二層,一層 二層 騎樓
RPSNMLNLJHMFFDQ56CA,8,177.83,住家用,鋼筋混凝土造,97年11月13日,三層,一層 二層 三層
RPTNMLLKJHMFFDQ98CA,,141.80,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPVNMLLKJHMFFDQ56CA,,141.80,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPXNMLLKJHMFFDQ76CA,,160.02,住家用,鋼筋混凝土造,105年7月26日,三層,一層 二層 三層
RPOOMLLKJHMFFDQ58CA,,142.35,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPSNMLNLJHMFFCQ09CA,35,96.98,住家用,鋼筋混凝土加強磚造,71年3月6日,二層,一層 二層
RPVOMLNKJHMFFCQ76CA,35,119.07,住家用,鋼筋混凝土加強磚造,70年7月28日,二層,一層 二層 電梯樓梯間
RPVNMLNKJHMFFCQ66CA,37,105.99,住家用,鋼筋混凝土加強磚造,68年12月31日,二層,一層 二層 電梯樓梯間
RPQNMLKKJHMFFCQ48CA,1,194.52,見其他登記事項,鋼筋混凝土造,104年11月13日,三層,一層 二層 三層 見其他登記事項
RPSNMLKKJHMFFCQ68CA,23,50.62,共有部份,鋼筋混凝土造,82年12月14日,七層,
