鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
燕巢區,房地(土地+建物),高雄市燕巢區安西路1~30號,74.65,住,,,1051128,土地1建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,0781115,105.45,4,2,3,有,無,934105,8858,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLNLJHMFFFE38CA
岡山區,房地(土地+建物),高雄市岡山區前峰路91~120號,6.03,住,,,1051223,土地3建物1車位0,三層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0851125,35.24,1,1,1,有,有,900000,25539,,0.0,0,,RPQPMLNLJHMFFFE18CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區五甲二路149巷31~60號,17.64,住,,,1051221,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840428,119.44999999999999,3,2,2,有,有,4500000,37673,坡道平面,0.0,0,,RPQNMLOJJHMFFGE97CA
鳳山區,房地(土地+建物),高雄市鳳山區五福二路100巷1~30號,22.85,住,,,1051204,土地3建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681020,57.42,2,2,2,有,無,4200000,73145,,0.0,0,,RPRNMLOJJHMFFGE08CA
鳳山區,房地(土地+建物)+車位,高雄市鳳山區過埤里高鳳一路1~30號,16.61,住,,,1051226,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1030810,115.4,2,1,1,有,有,5620000,48700,坡道平面,28.35,0,,RPWNMLOJJHMFFGE58CA
鳳山區,房地(土地+建物),高雄市鳳山區青年路二段151~180號,26.96,住,,,1051206,土地1建物1車位0,一層，二層，三層，騎樓,十九層,店面(店鋪),住商用,鋼筋混凝土造,0810419,221.7,0,0,0,無,有,15500000,69914,,0.0,0,,RPXNMLOJJHMFFGE68CA
鳳山區,土地,五甲段271~300地號,12.5,其他,,,1051218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,565750,45260,,0.0,0,本案為協議價購案件。,RPRNMLQJJHMFFGE28CA
鳳山區,土地,五甲段271~300地號,12.5,其他,,,1051218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,565750,45260,,0.0,0,本案為協議價購案件。,RPSNMLQJJHMFFGE38CA
鳳山區,房地(土地+建物),高雄市鳳山區信義街91~120號,21.17,住,,,1051219,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700510,49.4,2,1,1,有,無,1580000,31984,,0.0,0,,RPVOMLQJJHMFFGE78CA
鳳山區,房地(土地+建物),高雄市鳳山區杭州西街121~150號,14.95,住,,,1051220,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850110,110.1,3,1,2,有,無,4000000,36331,,0.0,0,,RPTNMLTJJHMFFGE78CA
鳳山區,房地(土地+建物),高雄市鳳山區鎮東街1~30號,28.87,住,,,1051210,土地1建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690204,88.92,3,2,2,有,無,4500000,50607,,0.0,0,,RPWNMLNKJHMFFGE58CA
大樹區,房地(土地+建物),高雄市大樹區姑山路91~120號,117.0,,特定農業區,甲種建築用地,1051209,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0761201,168.03,4,2,3,有,無,1035769,6164,,0.0,0,,RPQOMLNKJHMFFGE08CA
鳳山區,土地,牛潮埔段571~600地號,319.0,工,,,1051215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8685000,27226,,0.0,0,含未保存登記建物一棟。,RPRPMLPLJHMFFGE58CA
鳳山區,土地,牛潮埔段571~600地號,468.0,工,,,1051215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12741300,27225,,0.0,0,含未辦保存登記建物一棟。,RPOPMLPLJHMFFGE28CA
仁武區,房地(土地+建物),高雄市仁武區建興巷1~30號,103.74,農,,,1051118,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820924,169.28,4,2,3,有,無,5800000,34263,,0.0,0,,RPTOMLNJJHMFFIE48CA
鳥松區,房地(土地+建物)+車位,高雄市鳥松區清華街本昌巷31~60號,19.27,住,,,1051209,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040610,101.45,2,2,1,有,有,6300000,62100,坡道平面,0.0,0,,RPTNMLOJJHMFFIE48CA
大社區,土地,大安段421~450地號,6.4,其他,,,1051219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,222640,34788,,0.0,0,,RPPNMLQJJHMFFIE28CA
仁武區,房地(土地+建物),高雄市仁武區京富路91~120號,28.82,住,,,1051223,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0860423,74.79,3,2,2,有,無,3200000,42786,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLQJJHMFFIE48CA
大社區,房地(土地+建物),高雄市大社區萬金路151~180號,25.2,住,,,1051216,土地1建物1車位0,八層，電梯樓梯間,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831117,146.08,3,2,2,有,有,3250000,22248,,0.0,0,,RPSNMLQJJHMFFIE58CA
仁武區,房地(土地+建物),高雄市仁武區仁林路273巷1~30號,125.3,,鄉村區,乙種建築用地,1051227,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051024,184.79,5,2,5,有,無,10000000,54115,,0.0,0,,RPSNMLTJJHMFFIE88CA
仁武區,房地(土地+建物),高雄市仁武區仁林路273巷1~30號,115.68,,鄉村區,乙種建築用地,1051227,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1051024,184.8,5,2,5,有,無,10000000,54113,,0.0,0,,RPTNMLKKJHMFFIE18CA
仁武區,房地(土地+建物),高雄市仁武區永新六街61~90號,104.75,住,,,1051129,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1031107,314.14,5,2,4,有,無,18280000,58191,,0.0,0,,RPPNMLMKJHMFFIE97CA
大社區,房地(土地+建物)+車位,高雄市大社區中山路331~360號,16.55,住,,,1051210,土地2建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880324,129.95,3,2,2,有,有,3950000,30396,坡道機械,6.85,0,,RPSNMLMJKHMFFIE28CA
湖內區,土地,武功段541~570地號,171.43,住,,,1051212,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3977108,23200,,0.0,0,權利人共2人親友、員工或其他特殊關係間之交易。,RPRNMLPJJHMFFJE48CA
茄萣區,土地,崎漏段601~630地號,4318.0,住,,,1051223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,71898900,16651,,0.0,0,向政府機關承購之案件。,RPRNMLNLJHMFFJE48CA
美濃區,土地,竹頭角段3571~3600地號,824.0,,特定農業區,農牧用地,1051214,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,2427,,0.0,0,,RPPNMLOJJHMFFKE28CA
茂林區,土地,茂林段811~840地號,1240.0,,森林區,農牧用地,1051215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,235600,190,,0.0,0,,RPPNMLPJJHMFFKE38CA
大寮區,房地(土地+建物),高雄市大寮區內厝路271~300號,14.01,住,,,1051219,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830205,94.9,2,2,2,有,有,1850000,19494,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLPJJHMFFLE48CA
大寮區,房地(土地+建物),高雄市大寮區成功路116巷31~60號,15.35,住,,,1051227,土地1建物1車位0,三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830621,128.01,3,2,2,有,有,2570000,20077,,0.0,0,,RPXNMLPJJHMFFLE66CA
大寮區,房地(土地+建物),高雄市大寮區民族路256巷1~30號,9.56,住,,,1051121,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701230,30.0,3,2,1,有,無,1000000,33333,,0.0,0,,RPPNMLQJJHMFFLE58CA
大寮區,土地,大寮段2731~2760地號,814.0,農,,,1051109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12112000,14880,,0.0,0,,RPRNMLTJJHMFFLE09CA
大寮區,房地(土地+建物)+車位,高雄市大寮區四維路271~300號,24.12,商,,,1051212,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041216,151.51999999999998,3,2,2,有,有,6600000,43559,坡道機械,0.0,0,,RPOOMLKKJHMFFLE08CA
大寮區,房地(土地+建物),高雄市大寮區四維路271~300號,14.28,商,,,1051216,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041216,89.5,2,2,1,有,有,3950000,44134,,0.0,0,,RPPOMLKKJHMFFLE18CA
林園區,土地,王公廟段1801~1830地號,260.0,住,,,1051125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7070000,27192,,0.0,0,,RPPNMLRKJHMFFLE78CA
林園區,土地,王公廟段1801~1830地號,360.0,住,,,1051125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9800000,27222,,0.0,0,,RPQNMLRKJHMFFLE88CA
林園區,土地,王公廟段1831~1860地號,722.0,住,,,1051125,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19650000,27216,,0.0,0,,RPRNMLRKJHMFFLE98CA
大寮區,房地(土地+建物),高雄市大寮區新生街2巷1~30號,85.0,住,,,1051019,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0790701,201.43,4,2,3,有,無,5750000,28546,,0.0,0,,RPOPMLNLJHMFFLE58CA
大寮區,房地(土地+建物)+車位,高雄市大寮區明德路12巷1~30號,21.35,住,,,1051130,土地1建物1車位1,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811120,128.51999999999998,3,2,2,有,有,2860000,22253,坡道平面,0.0,0,,RPPNMLOLJHMFFLE58CA
