鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市大坡路二段91~120號,707.0,農,,,1051201,土地2建物1車位0,見其他登記事項,2,農舍,農舍,見其他登記事項,0981203,125.47,0,0,0,無,無,無,19000,,,0.0,0,,RPXQMLLLKILFFBG88CC
五結鄉,房地(土地+建物),宜蘭縣五結鄉中正路二段31~60號,80.88,住,,,1051201,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0571115,180.32,0,0,0,無,無,無,18000,100,,0.0,0,,RPTNMLRLKILFFAG68CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市女中路三段31~60號,97.0,住,,,1051216,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0880513,237.62,0,0,0,無,無,有,28000,118,,0.0,0,,RPWNMLRLKILFFBG66EC
冬山鄉,建物,宜蘭縣羅東鎮義成路三段590巷32弄1~30號,0.0,,,,1060112,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951229,111.76,3,2,2,有,有,有,17000,152,,0.0,0,,RPXNMLMKJHMFFAG38CC
宜蘭市,建物,宜蘭縣宜蘭市農權路157巷1~30號,0.0,住,,,1060109,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0700728,19.83,1,0,1,有,無,有,4500,227,,0.0,0,租賃一間小套房約6坪,RPUPMLMKJHMFFBG38CC
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市東港路31~60號,168.46,商,,,1051217,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住家用,鋼筋混凝土加強磚造,0570101,196.03,0,0,0,無,無,有,40000,204,,0.0,0,,RPRNMLNKJHMFFBG97CC
宜蘭市,建物,宜蘭縣宜蘭市民族路481~510號,23.75,住,,,1051215,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860514,108.18,3,1,2,有,無,有,12000,111,,0.0,0,,RPSNMLNKJHMFFBG08CC
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮站東路170巷1~30號,17.65,住,,,1051214,土地1建物1車位0,二層,3,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030402,34.27,1,1,1,有,無,有,7000,204,,0.0,0,,RPRPMLNKJHMFFAG08CC
