鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
龜山區,房地(土地+建物),桃園市龜山區大同路121~150號,25.25,住,,,1051201,土地4建物1車位0,一層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0850319,78.23,1,1,1,有,無,無,18000,230,,0.0,0,,RPSNMLKMKILFFHH78CC
楊梅區,土地,草湳坡段埔心小段31~60地號,1155.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,90000,78,,0.0,0,,RPPNMLMJJHMFFDH97DC
楊梅區,土地,草湳坡段埔心小段31~60地號,1155.0,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,90000,78,,0.0,0,,RPQNMLMJJHMFFDH08DC
蘆竹區,房地(土地+建物),桃園市蘆竹區忠孝東路1~30號,155.54,住,,,1051201,土地1建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1040425,46.04,3,3,4,有,無,無,33600,730,,0.0,0,,RPTNMLNJJHMFFEH48CC
八德區,建物,桃園市八德區廣興二路1~30號,0.0,商,,,1051201,土地0建物1車位1,六層,15,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030120,162.4,3,2,2,有,有,無,15000,92,坡道平面,34.81,0,,RPPNMLNJJHMFFFH18CC
八德區,房地(土地+建物)+車位,桃園市八德區中華路31巷1~30號,17.81,住,,,1051201,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,155.76,3,2,2,有,有,有,18000,116,坡道平面,0.0,0,,RPXNMLNJJHMFFFH98CC
中壢區,建物,桃園市中壢區廈門街31~60號,0.0,住,,,1051201,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0710920,166.77,4,1,3,有,無,無,23000,138,,0.0,0,,RPXRMLNJJHMFFBH98CC
中壢區,建物,桃園市中壢區普義路217巷1~30號,0.0,住,,,1051201,土地0建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930924,94.32000000000001,3,2,2,有,有,有,15000,159,坡道平面,0.0,0,,RPUSMLNJJHMFFBH78CC
桃園區,房地(土地+建物),桃園市桃園區復興路91~120號,2.43,住,,,1051101,土地1建物1車位0,八層,12,套房(1房1廳1衛),住家用,鋼筋混凝土造,0780522,27.189999999999998,0,0,0,無,有,有,7000,257,,0.0,0,,RPVNMLNJJHMFFAH28CC
桃園區,房地(土地+建物),桃園市桃園區大業路一段61~90號,14.97,住,,,1051101,土地1建物1車位0,三層,9,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930915,115.99,1,1,1,有,有,有,16500,142,,0.0,0,,RPWNMLNJJHMFFAH38CC
桃園區,房地(土地+建物),桃園市桃園區復興路61~90號,2.64,住,,,1051101,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811022,72.01,2,1,1,有,有,有,8500,118,,0.0,0,,RPQOMLNJJHMFFAH87CC
桃園區,房地(土地+建物)+車位,桃園市桃園區大有路652巷1~30號,11.19,住,,,1051101,土地1建物1車位1,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860901,94.02000000000001,3,2,2,有,有,有,16000,170,坡道平面,0.0,0,,RPVOMLNJJHMFFAH38CC
桃園區,房地(土地+建物),桃園市桃園區民有六街1~30號,3.88,住,,,1051101,土地1建物1車位0,三層,17,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850118,39.97,1,0,0,無,有,有,7000,175,,0.0,0,,RPWOMLNJJHMFFAH48CC
桃園區,房地(土地+建物),桃園市桃園區民有六街1~30號,4.52,住,,,1051101,土地1建物1車位0,十七層,17,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850118,42.96,0,0,0,無,有,有,9000,209,,0.0,0,,RPXOMLNJJHMFFAH58CC
桃園區,房地(土地+建物),桃園市桃園區復興路61~90號,6.39,住,,,1051101,土地1建物1車位0,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780930,50.45,1,1,1,有,有,有,8000,159,,0.0,0,,RPOPMLNJJHMFFAH77CC
桃園區,建物,桃園市桃園區建豐街31~60號,0.0,住,,,1051201,土地0建物0車位0,全,2,透天厝,見其他登記事項,加強磚造,0741108,49.76,2,2,2,有,有,有,10000,201,,0.0,0,,RPPPMLNJJHMFFAH87CC
桃園區,建物,桃園市桃園區中正路331~360號,0.0,商,,,1051201,土地0建物0車位0,全,3,透天厝,住家用,加強磚造,0511215,18.14,0,0,0,無,無,無,28000,1544,,0.0,0,,RPQPMLNJJHMFFAH97CC
桃園區,房地(土地+建物),桃園市桃園區復興路451~480號,7.91,住,,,1051101,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730402,73.82,2,1,1,有,有,有,10000,135,,0.0,0,,RPUPMLNJJHMFFAH38CC
桃園區,房地(土地+建物),桃園市桃園區民光東路151~180號,13.24,住,,,1051201,土地1建物1車位0,二層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920918,111.51,3,2,2,有,有,有,18000,161,,0.0,0,,RPXPMLNJJHMFFAH68CC
桃園區,房地(土地+建物),桃園市桃園區春日路1141~1170號,8.41,住,,,1051201,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930719,70.74000000000001,2,1,1,有,有,有,15000,212,,0.0,0,,RPOQMLNJJHMFFAH87CC
桃園區,建物,桃園市桃園區長壽街61~90號,0.0,住,,,1060101,土地0建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810325,51.0,1,1,1,有,有,有,12000,235,,0.0,0,,RPPQMLNJJHMFFAH97CC
桃園區,房地(土地+建物),桃園市桃園區國豐三街1~30號,7.43,住,,,1051201,土地1建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841215,63.15,2,1,1,有,有,有,16000,253,,0.0,0,,RPQQMLNJJHMFFAH08CC
八德區,房地(土地+建物),桃園市八德區介壽路二段490巷17弄4衖1~30號,97.58,,鄉村區,乙種建築用地,1051201,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730310,88.68,3,2,1,有,無,有,8000,90,,0.0,0,,RPVNMLNJJHMFFFH88DC
中壢區,房地(土地+建物),桃園市中壢區龍岡路三段580巷31~60號,24.13,住,,,1051201,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851015,85.19,2,2,1,有,無,無,6000,70,,0.0,0,,RPSQMLNJJHMFFBH48DC
平鎮區,房地(土地+建物),桃園市平鎮區游泳路5巷25弄1~30號,63.48,商,,,1060101,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0690912,81.0,4,2,1,有,無,無,10000,123,,0.0,0,,RPWOMLNJJHMFFGH56DC
桃園區,房地(土地+建物),桃園市桃園區經國路721~750號,32.02,住,,,1060101,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720128,116.28,3,2,2,有,無,無,14000,120,,0.0,0,,RPQNMLOJJHMFFAH87CC
桃園區,建物,桃園市桃園區萬壽路三段151~180號,0.0,商,,,1051201,土地0建物0車位0,全,5,透天厝,見其他登記事項,見其他登記事項,0641028,63.22,0,0,0,無,無,無,13000,206,,0.0,0,,RPQOMLOJJHMFFAH97CC
中壢區,建物,桃園市中壢區松勤路61~90號,0.0,商,,,1051201,土地0建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020222,142.76,4,2,2,有,有,有,15000,105,坡道平面,0.0,0,,RPWPMLOJJHMFFBH78CC
中壢區,建物,桃園市中壢區後興路一段61~90號,0.0,住,,,1051201,土地0建物1車位1,一層,9,店面(店鋪),見其他登記事項,鋼筋混凝土造,0890120,100.15,0,0,0,無,有,無,10000,100,坡道平面,0.0,0,,RPXPMLOJJHMFFBH88CC
中壢區,建物,桃園市中壢區吉安街31~60號,0.0,商,,,1051201,土地0建物0車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820330,27.64,5,5,5,有,有,有,4500,163,,0.0,0,,RPOQMLOJJHMFFBH08CC
中壢區,建物,桃園市中壢區中美路一段1~30號,0.0,住,,,1051201,土地0建物1車位0,十五層,18,套房(1房1廳1衛),住家用,鋼筋混凝土造,0861013,38.11,1,1,1,有,有,無,7500,197,,0.0,0,,RPTQMLOJJHMFFBH58CC
八德區,建物,桃園市八德區仁德二路1~30號,0.0,商,,,1051201,土地0建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020823,149.16,3,2,2,有,有,無,13000,87,坡道平面,38.87,0,,RPTNMLOJJHMFFFH68CC
楊梅區,建物,桃園市楊梅區金山街275巷1~30號,0.0,住,,,1051201,土地0建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040925,122.16,3,2,2,有,有,無,12500,102,坡道平面,29.13,0,,RPROMLOJJHMFFDH38CC
大園區,土地,東園段241~270地號,1463.62,住,,,1051201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,66411,45,,0.0,0,,RPXNMLOJJHMFFEH09DC
