編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPSNMLLKJHMFFAI08DC,檜段三小段,.00,非都市： ; 非都市編定：
RPTNMLLKJHMFFAI18DC,檜段三小段,.00,非都市： ; 非都市編定：
